order,bill_to_name,customer_class,ship_date,part_number,description,license,ordered,shipped,price,extension,standard_cost,category,sub_category,city,state
2024-40598-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/16/2024,13128,Pistachio CAKEBITES Family Pack 12/cs,N/A,5.00,5.00,18.38,91.92,11.62,Branded,Cakebites,YORK,PA
2024-40598-00,UNFI ACCOUNTS PAYABLE,GROCERY,8/16/2024,17655,Chocolate Tuxedo CAKEBITES Family 4 Pack,N/A,5.00,5.00,18.38,91.92,12.92,Branded,Cakebites,YORK,PA
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,00026,Pistachio Leaf - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.37,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,00024,Strawberry Leaf - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.27,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,80301,Almond Biscotti - 6lb Bulk,N/A,2.00,2.00,13.10,26.19,10.10,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,00042,Chocolate Florentine - 5lb Bulk,N/A,1.00,1.00,12.89,12.89,7.54,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,80060,Sesame Biscotti - 6lb Bulk,N/A,2.00,2.00,10.97,21.94,7.19,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,80075,Rainbow Sprinkle - 6lb Bulk,N/A,2.00,2.00,10.14,20.28,5.92,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,80050,Chocolate Chip - 6lb Bulk,N/A,2.00,2.00,10.14,20.28,6.45,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,80041,Cherry Jelly Top - 6lb Bulk,N/A,2.00,2.00,10.14,20.28,5.92,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,00006,Almond Tartlette - 5lb Bulk,N/A,2.00,2.00,9.83,19.66,5.20,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,00090,Melt-A-Way - 5lb Bulk,N/A,2.00,2.00,9.78,19.55,5.19,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,00038,Apricot Pocket - 5lb Bulk,N/A,2.00,2.00,9.78,19.55,5.20,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,00032,Raspberry Pocket,N/A,2.00,2.00,9.78,19.55,5.20,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40596-00,"Gio's Pastry Shop, LLC",INTERNET,8/7/2024,80015,Anisette Biscotti - 5lb Bulk,N/A,2.00,2.00,9.13,18.26,7.72,Bulk,Bulk Everyday,Fountain Inn,SC
2024-40595-00,Phil Pecora,INTERNET,8/7/2024,00038,Apricot Pocket - 5lb Bulk,N/A,10.00,10.00,9.78,97.76,5.20,Bulk,Bulk Everyday,myrtle beach,SC
2024-40595-00,Phil Pecora,INTERNET,8/7/2024,00090,Melt-A-Way - 5lb Bulk,N/A,10.00,10.00,9.78,97.76,5.19,Bulk,Bulk Everyday,myrtle beach,SC
2024-40595-00,Phil Pecora,INTERNET,8/7/2024,00032,Raspberry Pocket,N/A,10.00,10.00,9.78,97.76,5.20,Bulk,Bulk Everyday,myrtle beach,SC
2024-40594-00,Russell's Deli,INTERNET,8/7/2024,80060,Sesame Biscotti - 6lb Bulk,N/A,1.00,1.00,10.97,10.97,7.19,Bulk,Bulk Everyday,Gansevoort,NY
2024-40594-00,Russell's Deli,INTERNET,8/7/2024,00006,Almond Tartlette - 5lb Bulk,N/A,1.00,1.00,9.83,9.83,5.20,Bulk,Bulk Everyday,Gansevoort,NY
2024-40594-00,Russell's Deli,INTERNET,8/7/2024,00090,Melt-A-Way - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.19,Bulk,Bulk Everyday,Gansevoort,NY
2024-40594-00,Russell's Deli,INTERNET,8/7/2024,00038,Apricot Pocket - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.20,Bulk,Bulk Everyday,Gansevoort,NY
2024-40594-00,Russell's Deli,INTERNET,8/7/2024,00024,Strawberry Leaf - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.27,Bulk,Bulk Everyday,Gansevoort,NY
2024-40594-00,Russell's Deli,INTERNET,8/7/2024,00018,Pretzel - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.17,Bulk,Bulk Everyday,Gansevoort,NY
2024-40594-00,Russell's Deli,INTERNET,8/7/2024,00008,Raspberry Napoleon - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.80,Bulk,Bulk Everyday,Gansevoort,NY
2024-40594-00,Russell's Deli,INTERNET,8/7/2024,00084,Brownie - 5lb Bulk,N/A,1.00,1.00,11.74,11.74,6.32,Bulk,Bulk Everyday,Gansevoort,NY
2024-40594-00,Russell's Deli,INTERNET,8/7/2024,80050,Chocolate Chip - 6lb Bulk,N/A,1.00,1.00,10.14,10.14,6.45,Bulk,Bulk Everyday,Gansevoort,NY
2024-40594-00,Russell's Deli,INTERNET,8/7/2024,00034,Rainbow Layer - 5lb Bulk,N/A,5.00,5.00,10.05,50.26,7.14,Bulk,Rainbow Cookies,Gansevoort,NY
2024-40594-00,Russell's Deli,INTERNET,8/7/2024,80015,Anisette Biscotti - 5lb Bulk,N/A,1.00,1.00,9.13,9.13,7.72,Bulk,Bulk Everyday,Gansevoort,NY
2024-40592-00,Watermill Caterers,INTERNET,8/7/2024,15502,European Variety Pack - 5lb Bulk,N/A,5.00,5.00,13.96,69.78,10.56,Bulk,Bulk Everyday,Smithtown,NY
2024-40592-00,Watermill Caterers,INTERNET,8/7/2024,80600,Traditionally Italian Assortment - 6lb Bulk,N/A,5.00,5.00,13.72,68.58,11.44,Bulk,Bulk Everyday,Smithtown,NY
2024-40591-00,Fortune Bakery,INTERNET,8/12/2024,00186,Chocolate Dutch Boy - 5lb Bulk,N/A,1.00,1.00,10.07,10.07,5.83,Bulk,Bulk Everyday,San Gabriel,CA
2024-40591-00,Fortune Bakery,INTERNET,8/12/2024,00735,Harvest Pretzel - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.13,Bulk,Bulk Harvest,San Gabriel,CA
2024-40591-00,Fortune Bakery,INTERNET,8/12/2024,00182,Honey Dutch Boy - 5lb Bulk,N/A,1.00,1.00,10.07,10.07,5.70,Bulk,Bulk Everyday,San Gabriel,CA
2024-40591-00,Fortune Bakery,INTERNET,8/12/2024,00507,Sugar Free - Chocolate Chip - 5lb Bulk,N/A,1.00,1.00,11.86,11.86,7.54,Bulk,Bulk Sugar Free,San Gabriel,CA
2024-40591-00,Fortune Bakery,INTERNET,8/12/2024,00504,Sugar Free - Chocolate Marble - 5lb Bulk,N/A,1.00,1.00,11.86,11.86,6.51,Bulk,Bulk Sugar Free,San Gabriel,CA
2024-40591-00,Fortune Bakery,INTERNET,8/12/2024,80075,Rainbow Sprinkle - 6lb Bulk,N/A,1.00,1.00,10.14,10.14,5.92,Bulk,Bulk Everyday,San Gabriel,CA
2024-40591-00,Fortune Bakery,INTERNET,8/12/2024,80050,Chocolate Chip - 6lb Bulk,N/A,1.00,1.00,10.14,10.14,6.45,Bulk,Bulk Everyday,San Gabriel,CA
2024-40591-00,Fortune Bakery,INTERNET,8/12/2024,00044,Red Velvet - 5lb Bulk,N/A,1.00,1.00,10.11,10.11,6.37,Bulk,Bulk Everyday,San Gabriel,CA
2024-40591-00,Fortune Bakery,INTERNET,8/12/2024,00006,Almond Tartlette - 5lb Bulk,N/A,1.00,1.00,9.83,9.83,5.20,Bulk,Bulk Everyday,San Gabriel,CA
2024-40591-00,Fortune Bakery,INTERNET,8/12/2024,00048,Linzer Tart - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,6.41,Bulk,Bulk Everyday,San Gabriel,CA
2024-40591-00,Fortune Bakery,INTERNET,8/12/2024,00038,Apricot Pocket - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.20,Bulk,Bulk Everyday,San Gabriel,CA
2024-40591-00,Fortune Bakery,INTERNET,8/12/2024,00032,Raspberry Pocket,N/A,1.00,1.00,9.78,9.78,5.20,Bulk,Bulk Everyday,San Gabriel,CA
2024-40585-00,"DOT FOODS, INC.",DISTRIBUTOR,8/21/2024,00701,Orange Pumpkin Face - 5lb Bulk,N/A,100.00,100.00,6.84,683.60,4.62,Bulk,Bulk Harvest,MT. STERLING,IL
2024-40585-00,"DOT FOODS, INC.",DISTRIBUTOR,8/21/2024,00703,Autumn Shortbread - 5lb Bulk,N/A,156.00,156.00,6.84,"1,066.42",4.38,Bulk,Bulk Harvest,MT. STERLING,IL
2024-40585-00,"DOT FOODS, INC.",DISTRIBUTOR,8/21/2024,00709,Sugar Trio - 5lb Bulk,N/A,156.00,156.00,6.84,"1,066.42",4.03,Bulk,Bulk Harvest,MT. STERLING,IL
2024-40585-00,"DOT FOODS, INC.",DISTRIBUTOR,8/21/2024,00712,Apple Pie - 5lb Bulk,N/A,75.00,75.00,6.84,512.70,5.53,Bulk,Bulk Harvest,MT. STERLING,IL
2024-40585-00,"DOT FOODS, INC.",DISTRIBUTOR,8/21/2024,00717,Autumn Leaf - 5lb Bulk,N/A,156.00,156.00,6.84,"1,066.42",5.31,Bulk,Bulk Harvest,MT. STERLING,IL
2024-40585-00,"DOT FOODS, INC.",DISTRIBUTOR,8/21/2024,00735,Harvest Pretzel - 5lb Bulk,N/A,100.00,100.00,6.84,683.60,5.13,Bulk,Bulk Harvest,MT. STERLING,IL
2024-40585-00,"DOT FOODS, INC.",DISTRIBUTOR,8/21/2024,00750,Jack-O'Lantern Sweet Treat - 72/Case,N/A,144.00,144.00,10.26,"1,476.86",7.47,Bulk,Bulk Harvest,MT. STERLING,IL
2024-40585-00,"DOT FOODS, INC.",DISTRIBUTOR,8/21/2024,00754,Witch Sweet Treat - 72/Case,N/A,72.00,72.00,10.26,738.43,7.65,Bulk,Bulk Harvest,MT. STERLING,IL
2024-40583-00,BEST COOKIES & MORE,DISTRIBUTOR,8/12/2024,00750,Jack-O'Lantern Sweet Treat - 72/Case,N/A,8.00,8.00,11.07,88.58,7.47,Bulk,Bulk Harvest,HICKSVILLE,NY
2024-40583-00,BEST COOKIES & MORE,DISTRIBUTOR,8/12/2024,00754,Witch Sweet Treat - 72/Case,N/A,8.00,8.00,11.07,88.58,7.65,Bulk,Bulk Harvest,HICKSVILLE,NY
2024-40583-00,BEST COOKIES & MORE,DISTRIBUTOR,8/12/2024,Freight - Customer,Freight - Customer,N/A,-1.00,-1.00,5.32,-5.32,0.00,Freight,LTL/TL,HICKSVILLE,NY
2024-40579-00,MCLANE COMPANY - WAWA,C-STORE,8/16/2024,16734,Cakebites - Classic Italian Rainbow - 12ct Display - 8/Case,N/A,16.00,16.00,39.55,632.83,24.02,Branded,Cakebites,CARNEY POINT,NJ
2024-40579-00,MCLANE COMPANY - WAWA,C-STORE,8/16/2024,16296,Cakebites - SNICKERS - 12ct Display - 8/Case,MARS,11.00,11.00,42.24,464.64,27.38,Branded,Cakebites,CARNEY POINT,NJ
2024-40579-00,MCLANE COMPANY - WAWA,C-STORE,8/16/2024,15829,FILLED - Snickers 3 Pack - 8ct Display - 9 Per/Cs,MARS,10.00,10.00,31.39,313.92,26.97,Branded,Filled Cookies & Crumbles,CARNEY POINT,NJ
2024-40579-00,MCLANE COMPANY - WAWA,C-STORE,8/16/2024,15821,FILLED - TWIX 3 Pack - 8ct Display - 9 Per/Cs,MARS,6.00,6.00,31.39,188.35,26.29,Branded,Filled Cookies & Crumbles,CARNEY POINT,NJ
2024-40576-00,"PER MARKETS, INC.",GROCERY,8/3/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,"2,202.67","-2,202.67",0.00,Branded,All Branded,DEERFIELD BEACH,FL
2024-40575-00,BAKERY OUTLET,OTHER,8/2/2024,Outlet Store Sales,Outlet Store Sales,N/A,1.00,1.00,624.00,624.00,0.00,Other,Other Products,ISLIP,NY
2024-40574-00,"DOT FOODS, INC.",DISTRIBUTOR,8/5/2024,"Salvage, Stales - Branded","Salvage, Stales - Branded",N/A,-1.00,-1.00,39.17,-39.17,0.00,Branded,All Branded,MT. STERLING,IL
2024-40569-00,D'Aleo italian Deli,INTERNET,8/6/2024,80600,Traditionally Italian Assortment - 6lb Bulk,N/A,6.00,6.00,13.72,82.30,11.44,Bulk,Bulk Everyday,ST AUGUSTINE,FL
2024-40569-00,D'Aleo italian Deli,INTERNET,8/6/2024,00034,Rainbow Layer - 5lb Bulk,N/A,6.00,6.00,10.05,60.31,7.14,Bulk,Rainbow Cookies,ST AUGUSTINE,FL
2024-40566-00,Iavarone Brothers,INTERNET,8/6/2024,00034,Rainbow Layer - 5lb Bulk,N/A,20.00,20.00,10.05,201.04,7.14,Bulk,Rainbow Cookies,Woodbury,NY
2024-40565-00,lillian Spishak,INTERNET,8/5/2024,80015,Anisette Biscotti - 5lb Bulk,N/A,2.00,2.00,12.42,24.84,7.72,Bulk,Bulk Everyday,"Burton, MI",MI
2024-40565-00,lillian Spishak,INTERNET,8/5/2024,Freight - Webstore,Freight - Webstore,N/A,1.00,1.00,12.90,12.90,0.00,Freight,Other,"Burton, MI",MI
2024-40564-00,TWO J DISTRIBUTORS LLC,DISTRIBUTOR,8/19/2024,16734,Cakebites - Classic Italian Rainbow - 12ct Display - 8/Case,N/A,36.00,36.00,29.95,"1,078.27",24.02,Branded,Cakebites,,NY
2024-40564-00,TWO J DISTRIBUTORS LLC,DISTRIBUTOR,8/19/2024,79656,M&M Halloween House Kit - 6/Case,MARS,20.00,20.00,18.12,362.40,11.87,Structure Kits,Structure Kits Licensed,,NY
2024-40564-00,TWO J DISTRIBUTORS LLC,DISTRIBUTOR,8/19/2024,16037,Cakebites Ultimate Party Cake 12ct Display - 8 Displays/Case,N/A,6.00,6.00,29.95,179.71,24.10,Branded,Cakebites,,NY
2024-40564-00,TWO J DISTRIBUTORS LLC,DISTRIBUTOR,8/19/2024,18812,Cakebites - M&M's - 12ct Display - 8/Case,MARS,6.00,6.00,34.56,207.36,26.24,Branded,Cakebites,,NY
2024-40564-00,TWO J DISTRIBUTORS LLC,DISTRIBUTOR,8/19/2024,50122,CRUMBLES - Apple Cinnamon - 12ct Display - 9/Case,N/A,8.00,8.00,33.70,269.57,33.36,Branded,Filled Cookies & Crumbles,,NY
2024-40564-00,TWO J DISTRIBUTORS LLC,DISTRIBUTOR,8/19/2024,50012,CRUMBLES - Chocolate Chip - 12ct Display - 9/Case,N/A,8.00,8.00,33.70,269.57,33.28,Branded,Filled Cookies & Crumbles,,NY
2024-40564-00,TWO J DISTRIBUTORS LLC,DISTRIBUTOR,8/19/2024,17695,Chocolate Tuxedo CAKEBITES 12ct Display,N/A,6.00,6.00,29.95,179.71,24.62,Branded,Cakebites,,NY
2024-40564-00,TWO J DISTRIBUTORS LLC,DISTRIBUTOR,8/19/2024,16334,Cakebites - Classic Italian Rainbow - Family Pack 12/Case,N/A,10.00,10.00,12.24,122.40,11.65,Branded,Cakebites,,NY
2024-40563-00,CynTucci's bakery,INTERNET,8/6/2024,00046,Vanilla Florentine - 5lb Bulk,N/A,4.00,4.00,12.89,51.55,7.72,Bulk,Bulk Everyday,Mooresville,NC
2024-40563-00,CynTucci's bakery,INTERNET,8/6/2024,00042,Chocolate Florentine - 5lb Bulk,N/A,4.00,4.00,12.89,51.55,7.54,Bulk,Bulk Everyday,Mooresville,NC
2024-40563-00,CynTucci's bakery,INTERNET,8/6/2024,00026,Pistachio Leaf - 5lb Bulk,N/A,2.00,2.00,9.78,19.55,5.37,Bulk,Bulk Everyday,Mooresville,NC
2024-40563-00,CynTucci's bakery,INTERNET,8/6/2024,00024,Strawberry Leaf - 5lb Bulk,N/A,2.00,2.00,9.78,19.55,5.27,Bulk,Bulk Everyday,Mooresville,NC
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,80010,Lemon Fan - 6lb Bulk,N/A,1.00,1.00,12.24,12.24,7.79,Bulk,Bulk Everyday,Sterling Heights,MI
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,00703,Autumn Shortbread - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,4.38,Bulk,Bulk Harvest,Sterling Heights,MI
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,00712,Apple Pie - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.53,Bulk,Bulk Harvest,Sterling Heights,MI
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,00709,Sugar Trio - 5lb Bulk,N/A,2.00,2.00,9.78,19.55,4.03,Bulk,Bulk Harvest,Sterling Heights,MI
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,00750,Jack-O'Lantern Sweet Treat - 72/Case,N/A,2.00,2.00,15.38,30.76,7.47,Bulk,Bulk Harvest,Sterling Heights,MI
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,00754,Witch Sweet Treat - 72/Case,N/A,1.00,1.00,15.38,15.38,7.65,Bulk,Bulk Harvest,Sterling Heights,MI
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,00507,Sugar Free - Chocolate Chip - 5lb Bulk,N/A,2.00,2.00,11.86,23.72,7.54,Bulk,Bulk Sugar Free,Sterling Heights,MI
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,00504,Sugar Free - Chocolate Marble - 5lb Bulk,N/A,2.00,2.00,11.86,23.72,6.51,Bulk,Bulk Sugar Free,Sterling Heights,MI
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,00508,Sugar Free - Orange Fan - 5lb Bulk,N/A,2.00,2.00,11.86,23.72,7.51,Bulk,Bulk Sugar Free,Sterling Heights,MI
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,00522,Sugar Free - Pistachio Leaf - 5lb Bulk,N/A,2.00,2.00,11.86,23.72,6.00,Bulk,Bulk Sugar Free,Sterling Heights,MI
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,00050,Chocolate Drizzled Macaroon - 5lb Bulk,N/A,1.00,1.00,11.74,11.74,6.30,Bulk,Bulk Everyday,Sterling Heights,MI
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,00038,Apricot Pocket - 5lb Bulk,N/A,2.00,2.00,9.78,19.55,5.20,Bulk,Bulk Everyday,Sterling Heights,MI
2024-40561-00,MANNINOS BAKERY,INTERNET,8/6/2024,00032,Raspberry Pocket,N/A,2.00,2.00,9.78,19.55,5.20,Bulk,Bulk Everyday,Sterling Heights,MI
2024-40560-00,DeLucia's Bake Shop,INTERNET,8/6/2024,00070,Fiesta Ring - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.70,Bulk,Bulk Everyday,West End,NC
2024-40560-00,DeLucia's Bake Shop,INTERNET,8/6/2024,00046,Vanilla Florentine - 5lb Bulk,N/A,1.00,1.00,12.89,12.89,7.72,Bulk,Bulk Everyday,West End,NC
2024-40560-00,DeLucia's Bake Shop,INTERNET,8/6/2024,00042,Chocolate Florentine - 5lb Bulk,N/A,1.00,1.00,12.89,12.89,7.54,Bulk,Bulk Everyday,West End,NC
2024-40560-00,DeLucia's Bake Shop,INTERNET,8/6/2024,80010,Lemon Fan - 6lb Bulk,N/A,1.00,1.00,12.24,12.24,7.79,Bulk,Bulk Everyday,West End,NC
2024-40560-00,DeLucia's Bake Shop,INTERNET,8/6/2024,00090,Melt-A-Way - 5lb Bulk,N/A,2.00,2.00,9.78,19.55,5.19,Bulk,Bulk Everyday,West End,NC
2024-40560-00,DeLucia's Bake Shop,INTERNET,8/6/2024,00078,Vanilla Wafer - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,6.20,Bulk,Bulk Everyday,West End,NC
2024-40560-00,DeLucia's Bake Shop,INTERNET,8/6/2024,00026,Pistachio Leaf - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.37,Bulk,Bulk Everyday,West End,NC
2024-40560-00,DeLucia's Bake Shop,INTERNET,8/6/2024,00024,Strawberry Leaf - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.27,Bulk,Bulk Everyday,West End,NC
2024-40560-00,DeLucia's Bake Shop,INTERNET,8/6/2024,Freight - Webstore,Freight - Webstore,N/A,1.00,1.00,34.43,34.43,0.00,Freight,Other,West End,NC
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,16937,Cakebites - Ultimate Party Cake 2/12ct Displays,N/A,1.00,1.00,15.88,15.88,9.18,Branded,Cakebites,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,18234,Cakebites - Rainbow - 2/12ct Displays/Case,N/A,1.00,1.00,15.88,15.88,9.52,Branded,Cakebites,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00955,Caramel Chocolate Filled Cookie,N/A,1.00,1.00,11.74,11.74,6.26,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,01209,Double Chocolate Peppermint - 5lb Bulk,N/A,1.00,1.00,11.74,11.74,7.50,Bulk,Bulk - Christmas,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,01208,Chocolate Peppermint - 5lb Bulk,N/A,1.00,1.00,11.74,11.74,7.67,Bulk,Bulk - Christmas,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00950,Fudge Mint Filled Cookie,N/A,1.00,1.00,11.74,11.74,6.77,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00945,S'mores Filled Cookie,N/A,1.00,1.00,11.74,11.74,5.79,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00745,Chocolate Dipped Star - 5lb Bulk,N/A,1.00,1.00,11.74,11.74,6.52,Bulk,Bulk - Patriotic,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,01205,Holiday Star - 5lb Bulk,N/A,1.00,1.00,11.74,11.74,6.21,Bulk,Bulk - Christmas,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,01202,Graham Star - 5lb Bulk,N/A,1.00,1.00,11.74,11.74,6.07,Bulk,Bulk - Christmas,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00088,Peanutter - 5lb Bulk,N/A,1.00,1.00,10.29,10.29,6.15,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,80095,Angel Spritz - 6lb Bulk,N/A,1.00,1.00,10.14,10.14,6.17,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,80075,Rainbow Sprinkle - 6lb Bulk,N/A,1.00,1.00,10.14,10.14,5.92,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,80050,Chocolate Chip - 6lb Bulk,N/A,1.00,1.00,10.14,10.14,6.45,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00186,Chocolate Dutch Boy - 5lb Bulk,N/A,1.00,1.00,10.07,10.07,5.83,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00182,Honey Dutch Boy - 5lb Bulk,N/A,1.00,1.00,10.07,10.07,5.70,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00006,Almond Tartlette - 5lb Bulk,N/A,1.00,1.00,9.83,9.83,5.20,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00735,Harvest Pretzel - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.13,Bulk,Bulk Harvest,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00717,Autumn Leaf - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.31,Bulk,Bulk Harvest,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00709,Sugar Trio - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,4.03,Bulk,Bulk Harvest,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00701,Orange Pumpkin Face - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,4.62,Bulk,Bulk Harvest,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00703,Autumn Shortbread - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,4.38,Bulk,Bulk Harvest,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00090,Melt-A-Way - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.19,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00070,Fiesta Ring - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.70,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,00018,Pretzel - 5lb Bulk,N/A,1.00,1.00,9.78,9.78,5.17,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,80015,Anisette Biscotti - 5lb Bulk,N/A,1.00,1.00,9.13,9.13,7.72,Bulk,Bulk Everyday,New Castle,PA
2024-40559-00,Chailse Mangino,INTERNET,8/6/2024,Discount - Webstore,Discount - Webstore,N/A,1.00,1.00,-7.05,-7.05,0.00,Selling Expense,Promotions Branded,New Castle,PA
2024-40557-00,Hans & Harry's Bakery,INTERNET,8/5/2024,80041,Cherry Jelly Top - 6lb Bulk,N/A,2.00,2.00,10.14,20.28,5.92,Bulk,Bulk Everyday,Bonita,CA
2024-40557-00,Hans & Harry's Bakery,INTERNET,8/5/2024,00048,Linzer Tart - 5lb Bulk,N/A,5.00,5.00,9.78,48.88,6.41,Bulk,Bulk Everyday,Bonita,CA
2024-40557-00,Hans & Harry's Bakery,INTERNET,8/5/2024,00090,Melt-A-Way - 5lb Bulk,N/A,4.00,4.00,9.78,39.10,5.19,Bulk,Bulk Everyday,Bonita,CA
2024-40557-00,Hans & Harry's Bakery,INTERNET,8/5/2024,80075,Rainbow Sprinkle - 6lb Bulk,N/A,5.00,5.00,10.14,50.70,5.92,Bulk,Bulk Everyday,Bonita,CA
2024-40556-00,BAKEMARK CN - LAVAL,DISTRIBUTOR,8/14/2024,80050,Chocolate Chip - 6lb Bulk,N/A,4.00,4.00,7.78,31.12,6.45,Bulk,Bulk Everyday,LAVAL,QC
2024-40556-00,BAKEMARK CN - LAVAL,DISTRIBUTOR,8/14/2024,00182,Honey Dutch Boy - 5lb Bulk,N/A,50.00,50.00,7.73,386.40,5.70,Bulk,Bulk Everyday,LAVAL,QC
2024-40556-00,BAKEMARK CN - LAVAL,DISTRIBUTOR,8/14/2024,00701,Orange Pumpkin Face - 5lb Bulk,N/A,1.00,1.00,7.50,7.50,4.62,Bulk,Bulk Harvest,LAVAL,QC
